Date,Open,High,Low,Close,Adj Close,Volume
2018-01-10,10783.132813,11082.302734,10131.873047,11082.302734,11082.302734,13693139303
2018-01-11,11078.528320,11116.801758,9715.991211,9901.617188,9901.617188,12212201764
2018-01-12,9937.144531,10438.600586,9705.760742,10181.778320,10181.778320,8787196737
2018-01-13,10161.241211,10676.207031,10161.241211,10458.233398,10458.233398,9295462728
2018-01-14,10465.953125,10568.640625,9662.806641,10029.859375,10029.859375,8072317809
2018-01-15,10026.436523,10478.383789,9930.625000,10018.704102,10018.704102,9243729065
2018-01-16,10030.520508,10037.049805,7392.430176,8327.656250,8327.656250,13664154179
2018-01-17,8284.606445,8411.121094,6800.933105,8093.604980,8093.604980,13621672593
2018-01-18,8100.983887,8717.813477,7907.001953,8260.672852,8260.672852,10813044141
2018-01-19,8228.205078,8648.446289,8032.858398,8376.560547,8376.560547,7750884122
2018-01-20,8411.777344,9455.871094,8411.777344,9308.796875,9308.796875,8516778778
2018-01-21,9301.581055,9306.416016,8126.854004,8351.403320,8351.403320,7152757218
2018-01-22,8375.162109,8612.018555,7321.750488,7817.635742,7817.635742,7535865208
2018-01-23,7827.004395,8140.229980,7270.815430,7757.602051,7757.602051,6895510019
2018-01-24,7782.583984,8098.437012,7582.525391,7988.888184,7988.888184,6991342536
2018-01-25,8032.702637,8245.208008,7754.137695,7957.735840,7957.735840,6271234660
2018-01-26,7955.332520,8220.522461,7347.578613,7885.508789,7885.508789,6879508401
2018-01-27,7887.979492,8198.560547,7756.899902,8075.598145,8075.598145,5352770444
2018-01-28,8100.020996,8498.834961,8100.020996,8329.540039,8329.540039,5901314533
2018-01-29,8307.773438,8390.871094,7951.632324,8028.713867,8028.713867,5051428389
2018-01-30,8036.104980,8040.389648,7094.726563,7140.242676,7140.242676,6102769422
2018-01-31,7141.585449,7315.106934,6897.650879,7199.478516,7199.478516,5663985484
2018-02-01,7210.889648,7220.717285,6189.703125,6428.699707,6428.699707,6981703784
2018-02-02,6408.889160,6411.136230,5482.378418,6254.072266,6254.072266,9013385065
2018-02-03,6269.207031,6679.001465,5843.930664,6497.811523,6497.811523,5144327252
2018-02-04,6498.371094,6611.097656,5693.478027,5866.059570,5866.059570,5013146580
2018-02-05,5861.474121,5926.206055,4825.510742,4988.359863,4988.359863,6659463519
2018-02-06,5057.555664,5628.952637,4332.874512,5556.033203,5556.033203,10031384580
2018-02-07,5557.101074,6117.261230,5182.090820,5491.245605,5491.245605,6606585489
2018-02-08,5503.177246,6119.526367,5502.384277,5931.957520,5931.957520,6707873162
2018-02-09,5936.443359,6315.128418,5659.830566,6315.128418,6315.128418,4904098463
2018-02-10,6302.913086,6593.819824,5996.002930,6231.948242,6231.948242,5624112943
2018-02-11,6227.777344,6227.777344,5732.634766,5881.905762,5881.905762,4429308222
2018-02-12,5890.196777,6487.560547,5888.492676,6446.573730,6446.573730,4518263745
2018-02-13,6446.681152,6469.610352,6083.028809,6193.408691,6193.408691,4103378140
2018-02-14,6194.568848,6793.134277,6193.676758,6774.620117,6774.620117,5643824405
2018-02-15,6770.118164,7262.844238,6665.895996,7208.167969,7208.167969,6425510698
2018-02-16,7186.401367,7353.871094,6998.732422,7296.898438,7296.898438,5202252937
2018-02-17,7278.074707,7942.602539,7236.648926,7923.494141,7923.494141,6175315782
2018-02-18,7931.123047,8092.548828,7362.566895,7520.347656,7520.347656,6231921978
